"","count","site","yr","observerAge","day","firstSurvey","latitude","lineCov"
"93724",7,"site27",2011,43,148,0,56.46,0.8875
"93862",13,"site27",2008,34,150,0,56.46,0.925
"94186",16,"site28",2004,50,147,0,56.47,0.9875
"94412",21,"site28",2009,47,150,0,56.47,1
"94593",16,"site28",2003,49,154,1,56.47,1
"94742",19,"site28",2008,46,149,1,56.47,1
"94771",16,"site28",2012,50,160,0,56.47,1
"95199",17,"site28",2011,49,159,0,56.47,1
"95469",12,"site28",2010,48,149,0,56.47,1
"96130",7,"site29",2007,37,156,0,56.68,0.825
"96294",16,"site29",2005,55,155,1,56.68,0.825
"96711",1,"site29",2011,41,152,0,56.68,0.825
"96726",3,"site29",2006,36,155,0,56.68,0.825
"97078",8,"site29",2004,34,153,0,56.68,0.825
"97141",3,"site29",2010,40,145,0,56.68,0.825
"97464",8,"site29",2012,42,157,0,56.68,0.825
"97827",10,"site29",2003,33,149,1,56.68,0.825
"98270",10,"site30",2006,56,139,0,56.69,1
"98667",10,"site30",2008,58,138,0,56.69,1
"98931",6,"site30",2009,59,134,0,56.69,1
"99115",19,"site30",2005,55,139,0,56.69,1
"100144",6,"site30",2011,61,140,0,56.69,1
"100363",21,"site30",2000,50,141,0,56.69,1
"100429",16,"site30",2001,51,140,0,56.69,1
"100458",20,"site30",2004,54,140,0,56.69,1
"100818",33,"site30",2003,53,140,0,56.69,1
"100830",11,"site30",2002,52,135,0,56.69,1
"101134",35,"site30",1999,49,141,1,56.69,1
"101170",7,"site30",2010,60,135,0,56.69,1
"101603",8,"site30",2012,62,140,0,56.69,1
"102008",16,"site30",2007,57,138,0,56.69,1
"102361",15,"site31",2010,25,154,1,56.47,1
"102525",5,"site31",2005,69,136,0,56.47,1
"102618",4,"site31",2006,70,136,0,56.47,1
"102832",38,"site31",2012,44,152,0,56.47,1
"103119",12,"site31",2011,43,145,1,56.47,1
"103246",1,"site31",2004,68,140,0,56.47,1
"103914",15,"site31",2007,53,156,1,56.47,1
"104024",13,"site31",2008,54,146,0,56.47,1
"104461",2,"site31",2001,65,153,1,56.47,1
"104520",8,"site31",2009,48,153,1,56.47,1
"105030",20,"site32",1998,19,134,1,56.48,0.9975
"105352",16,"site32",2009,47,152,0,56.48,1
"105359",40,"site32",2012,33,147,1,56.48,1
"105493",27,"site32",2005,43,155,0,56.48,1
"106383",18,"site32",2004,42,158,0,56.48,1
"106557",18,"site32",2008,46,150,0,56.48,1
"106910",23,"site32",2007,45,152,0,56.48,1
"107189",19,"site32",2003,41,153,0,56.48,1
"107211",11,"site32",2011,46,156,1,56.48,0.975
"107510",5,"site32",2006,44,155,0,56.48,1
"107876",6,"site32",2010,48,152,0,56.48,1
"108113",13,"site32",2002,40,154,1,56.48,0.9975
"108246",22,"site33",2003,49,152,1,56.7,1
"108502",2,"site33",2009,39,150,0,56.7,1
"108710",2,"site33",2011,51,152,1,56.7,0.9875
"108746",6,"site33",2008,38,145,1,56.7,1
"109011",4,"site33",2006,52,157,0,56.7,1
"109435",11,"site33",2007,53,155,0,56.7,1
"109647",14,"site33",2002,52,159,1,56.7,0.997916666666667
"110563",0,"site34",2009,50,142,0,56.7,1
"110889",6,"site34",2011,52,147,0,56.7,1
"111093",6,"site34",2012,53,154,0,56.7,1
"111153",2,"site34",2006,47,144,1,56.7,1
"111296",6,"site34",2002,27,137,1,56.7,1
"111543",5,"site34",2008,49,151,0,56.7,1
"111691",1,"site34",2010,51,141,0,56.7,1
"112424",4,"site34",2007,48,145,0,56.7,1
"112564",22,"site34",2003,49,147,1,56.7,1
"112610",5,"site35",2004,52,141,0,56.48,1
"112851",13,"site35",2003,51,148,0,56.48,0.975
"112904",5,"site35",2012,60,138,0,56.48,1
"113250",7,"site35",2008,56,144,0,56.48,1
"113295",6,"site35",2006,54,139,0,56.48,1
"113301",15,"site35",2007,55,144,0,56.48,1
"113304",19,"site35",2001,49,139,1,56.48,0.994444444444444
"113342",1,"site35",2009,57,141,0,56.48,1
"114333",15,"site35",2005,53,155,0,56.48,0.975
"114960",0,"site35",2011,59,140,0,56.48,1
"115468",11,"site35",2002,50,142,0,56.48,0.994444444444444
"115904",11,"site36",2001,67,138,0,56.48,0.99375
"115910",15,"site36",1999,65,141,1,56.48,0.99375
"116015",8,"site36",2005,71,140,0,56.48,0.9375
"116158",13,"site36",2002,68,136,0,56.48,0.99375
"116461",12,"site36",2012,78,143,0,56.48,1
"116528",14,"site36",2008,74,138,0,56.48,1
"116822",14,"site36",2009,75,135,0,56.48,1
"116896",6,"site36",2004,70,139,0,56.48,1
"116992",9,"site36",2006,72,138,0,56.48,1
"118418",13,"site36",2000,66,142,0,56.48,0.99375
"119021",6,"site36",2003,69,136,0,56.48,1
"119295",12,"site36",2007,73,136,0,56.48,1
"119316",10,"site36",2011,77,136,0,56.48,1
