"","count","site","yr","observerAge","day","firstSurvey","latitude","lineCov"
"126351",10,"site38",2009,75,136,0,56.7,1
"126418",16,"site38",2008,74,139,0,56.7,1
"126468",11,"site38",2012,78,142,0,56.7,1
"126657",2,"site39",2006,54,146,0,56.48,0.9875
"126785",1,"site39",2009,27,146,0,56.48,0.9625
"127853",0,"site39",2001,49,145,0,56.48,0.975
"128475",0,"site39",2008,26,147,1,56.48,0.9
"128762",0,"site39",1999,47,145,0,56.48,0.975
"128785",0,"site39",2004,52,142,0,56.48,0.9875
"129038",0,"site39",2007,55,144,0,56.48,0.9875
"129574",2,"site39",2000,48,147,0,56.48,0.975
"129716",0,"site39",2003,51,144,0,56.48,0.9875
"129768",1,"site39",2005,53,148,0,56.48,0.9875
"129792",0,"site39",2011,36,141,1,56.48,0.9875
"130219",0,"site39",2012,37,145,0,56.48,0.9875
"130312",0,"site39",1998,46,140,0,56.48,0.975
"130464",20,"site40",2001,33,154,0,56.48,1
"130651",8,"site40",2004,36,151,0,56.48,1
"130887",10,"site40",2005,37,155,0,56.48,1
"131687",17,"site40",2009,41,156,0,56.48,1
"131863",10,"site40",2008,40,157,0,56.48,1
"132494",13,"site40",2000,32,155,0,56.48,1
"132707",14,"site40",1999,31,157,0,56.48,1
"133046",5,"site40",2002,34,151,0,56.48,1
"133126",22,"site40",2006,38,156,0,56.48,1
"133403",17,"site40",2011,43,155,0,56.48,1
"133732",7,"site40",1998,30,162,0,56.48,1
"133811",14,"site40",2010,42,155,0,56.48,1
"134893",3,"site41",2005,36,160,1,56.7,0.95
"135392",7,"site41",2007,38,135,0,56.7,0.95
"135779",6,"site41",2002,50,161,1,56.7,0.952777777777778
"135957",3,"site41",2012,43,138,0,56.7,0.95
"135985",2,"site41",2010,41,133,0,56.7,0.95
"136128",3,"site41",2009,40,134,0,56.7,0.95
"136160",3,"site41",2011,42,136,0,56.7,0.95
"136329",1,"site41",2004,68,139,1,56.7,0.975
"136627",3,"site41",2008,39,135,0,56.7,0.95
"136979",1,"site41",2006,37,136,0,56.7,0.95
"137715",28,"site42",2002,37,145,0,57.1,0.9890625
"137892",22,"site42",2003,38,146,0,57.1,0.975
"137990",16,"site42",2007,42,143,0,57.1,0.9875
"138024",23,"site42",2006,41,147,0,57.1,1
"138042",40,"site42",2010,45,146,0,57.1,0.9875
"138211",21,"site42",2008,43,142,0,57.1,0.9875
"138791",27,"site42",2012,47,145,0,57.1,0.9875
"139033",22,"site42",2001,36,146,1,57.1,0.9890625
"139436",19,"site42",2009,44,143,0,57.1,0.9875
"139748",15,"site42",2004,39,147,0,57.1,1
"140412",1,"site43",2010,43,153,1,56.89,0.9875
"140417",1,"site43",1998,63,172,0,56.89,0.9375
"140627",2,"site43",2002,67,163,0,56.89,0.9375
"140722",4,"site43",2008,54,148,0,56.89,1
"141337",5,"site43",2012,45,143,0,56.89,0.9375
"142100",0,"site43",2003,68,164,0,56.89,0.875
"142114",2,"site43",2001,66,149,0,56.89,0.9375
"142442",1,"site43",2011,44,166,0,56.89,0.825
"142456",2,"site43",2000,65,164,0,56.89,0.9375
"142860",5,"site43",2006,52,151,1,56.89,1
"142926",2,"site43",1999,64,164,0,56.89,0.9375
"143715",0,"site44",2011,53,150,0,56.9,1
"143895",0,"site44",2000,42,159,1,56.9,1
"144168",0,"site44",2003,45,148,0,56.9,1
"144462",0,"site44",2007,49,155,0,56.9,1
"144665",0,"site44",2005,47,156,0,56.9,1
"144766",0,"site44",2001,43,143,0,56.9,1
"144933",0,"site44",2008,50,147,0,56.9,1
"144946",0,"site44",2002,44,150,0,56.9,1
"145088",0,"site44",2009,51,152,0,56.9,1
"145523",0,"site44",2012,54,150,0,56.9,1
"145684",0,"site44",2006,48,156,0,56.9,1
"146060",0,"site44",2004,46,151,0,56.9,1
"146395",0,"site44",2010,52,152,0,56.9,1
"146921",3,"site45",2003,56,150,0,57.12,1
"147123",0,"site45",2007,60,153,0,57.12,0.975
"147299",4,"site45",2012,45,157,1,57.12,0.9625
"147434",1,"site45",2006,59,154,0,57.12,1
"147473",3,"site45",2002,55,141,1,57.12,0.9921875
"148037",3,"site45",2004,57,157,0,57.12,1
"148302",4,"site45",2009,62,149,0,57.12,1
"149079",2,"site45",2008,61,152,0,57.12,1
"149154",2,"site45",2005,58,154,0,57.12,1
"149487",1,"site46",2009,57,139,0,57.13,0.95
"149645",0,"site46",1998,46,156,1,57.13,0.9140625
"149669",0,"site46",2003,51,148,0,57.13,0.925
